timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll
2.40E+12,16.260014,-3.691637767,-15.51736207,6.103115423,-2.171015,-2.1835377,-1.3808609,26.521816,77.30083,-10.768511
2.40E+12,16.26506,-2.758429317,-14.36809069,5.110144899,-2.2766948,-1.2486086,-1.4819591,26.082474,77.51578,-10.586521
2.40E+12,16.270017,-1.989106278,-13.38812813,4.594844961,-2.3936756,-0.6252206,-1.3845261,25.641062,77.63792,-10.403127
2.40E+12,16.275014,-1.320399002,-12.50825003,4.40881355,-2.4514022,0.65026605,-1.3213016,25.665928,77.80141,-10.235427
2.40E+12,16.280014,-0.947738492,-11.59282872,4.735055915,-2.4217753,1.6914859,-1.2794572,25.79816,78.12689,-9.995764
2.40E+12,16.28502,-0.719105395,-10.65924429,5.311401793,-2.26631,2.4165828,-1.3790283,26.20254,78.45048,-9.7709465
2.40E+12,16.290017,-0.737854697,-9.833611718,5.560427693,-2.0793853,2.7711902,-1.4782939,26.781357,78.78291,-9.539019
2.40E+12,16.295084,-0.885534026,-9.051779787,5.642954392,-1.8536706,2.9608638,-1.5586227,27.506857,79.0935,-9.30884
2.40E+12,16.300032,-1.034238319,-8.225359863,5.648028892,-1.7159204,3.0998356,-1.6270396,28.264908,79.130875,-9.194112
2.40E+12,16.305097,-1.192474257,-7.295124096,5.552128154,-1.6481144,3.0870075,-1.6594155,28.998611,79.150024,-9.078802
2.40E+12,16.309945,-1.412541456,-6.421945892,5.161397508,-1.5787812,2.994156,-1.5858061,29.70701,79.066666,-9.035247
2.40E+12,16.315014,-1.750081638,-5.535902951,4.284730822,-1.5180001,2.930626,-1.5015068,30.387709,78.97694,-8.995023
2.40E+12,16.319962,-2.048356642,-4.629432273,3.453939164,-1.4743233,2.9019153,-1.4388931,31.08371,78.99541,-8.916574
2.40E+12,16.325014,-2.286410293,-3.615323711,2.658839972,-1.3655893,2.9272664,-1.4220943,31.754116,78.97669,-8.85802
2.40E+12,16.329962,-2.50023092,-2.665808929,2.04348881,-1.1844677,2.8454103,-1.3820826,32.439827,78.99484,-8.836735
2.40E+12,16.335016,-2.670574288,-1.804628476,1.821096011,-0.9401216,2.5723536,-1.3035865,33.058903,78.962944,-8.834768
2.40E+12,16.339973,-2.866386175,-1.014912772,1.690638567,-0.691194,2.0955732,-1.212262,33.68573,79.05302,-8.79115
2.40E+12,16.345032,-3.155773696,-0.38012729,1.830664766,-0.453262,1.4767667,-1.0897835,34.178886,79.06823,-8.773891
2.40E+12,16.350091,-3.475154037,0.224295255,1.930077051,-0.2678644,0.75686204,-0.9773844,34.59096,79.16626,-8.700566
2.40E+12,16.355054,-3.913945398,0.69022828,1.857699109,-0.10354166,0.09773844,-0.8491027,34.834507,79.18759,-8.655081
2.40E+12,16.360043,-4.356059488,1.154998093,1.752338218,0.02321288,-0.38881573,-0.7302894,34.946938,79.147934,-8.644491
2.40E+12,16.365014,-4.808095877,1.57755382,1.280648088,0.13836098,-0.68111473,-0.57451874,34.91969,79.03595,-8.672068
2.40E+12,16.369982,-5.255052978,1.982484485,0.853207168,0.23273966,-0.8151997,-0.40042216,34.8195,78.82477,-8.798343
2.40E+12,16.375014,-5.67576713,2.276984469,0.712969072,0.28130344,-1.0815369,-0.30634892,34.594692,78.57604,-8.938347
2.40E+12,16.38006,-6.034584147,2.551666554,0.551473482,0.34330627,-1.3652838,-0.099265605,34.351307,78.21349,-9.234747
2.40E+12,16.386072,-5.645086429,2.611589283,0.088736797,0.3200934,-1.6212363,0.112704635,34.03566,77.82726,-9.55789
2.40E+12,16.390018,-5.38943806,2.650919803,-0.214982257,0.23060162,-1.8041905,0.3417791,33.675312,77.3418,-10.012443
2.40E+12,16.395133,-5.058054023,2.701901965,-0.608677889,0.12797627,-1.8332067,0.5439755,33.27818,76.81076,-10.523076
2.40E+12,16.400106,-4.534719028,2.570942301,-0.80653919,0.093462385,-1.7528778,0.6933321,32.852436,76.23261,-11.088044
2.40E+12,16.40498,-3.910255776,2.342480151,-0.897924066,0.1432479,-1.6383406,0.79473567,32.42126,75.61085,-11.704091
2.40E+12,16.409997,-3.262068309,1.848150641,-0.621986402,0.2489276,-1.5488489,0.84482664,32.015762,75.058754,-12.286892
2.40E+12,16.41503,-2.610212692,1.275448965,-0.235529131,0.39645153,-1.4779885,0.8604037,31.636961,74.46531,-12.899805
2.40E+12,16.420002,-1.524685097,0.264886235,0.415146045,0.59712076,-1.4095715,0.7831292,31.270336,73.9357,-13.411657
2.40E+12,16.424989,-0.254248964,-0.931687367,1.178392584,0.91721416,-1.3918564,0.61636305,30.915365,73.37644,-13.908677
2.40E+12,16.429973,0.90969416,-2.132153063,1.363512497,1.2965615,-1.430341,0.41447207,30.519182,72.88709,-14.234691
2.40E+12,16.435041,2.059681978,-3.354315758,1.368324158,1.6588045,-1.5293012,0.20555615,30.120342,72.38797,-14.510346
2.40E+12,16.440002,2.796759511,-4.640121186,0.203389902,2.0124955,-1.7214183,0.009773844,29.60703,71.989334,-14.460107
2.40E+12,16.445,3.41151152,-5.964935682,-1.354935045,2.3383923,-1.8350391,-0.1337795,29.100111,71.55818,-14.352269
2.40E+12,16.450127,3.4527296,-6.973350055,-2.912900537,2.640465,-1.7046194,-0.13439035,28.625875,71.19829,-13.984624
2.40E+12,16.455119,3.29671242,-7.838535583,-4.416337997,2.864958,-1.4688255,0.08155051,28.140093,70.755,-13.617575
2.40E+12,16.460009,2.431169089,-8.901815637,-4.692064658,3.0216448,-1.3472633,0.46273044,27.671232,70.54302,-13.159647
2.40E+12,16.465028,1.27817563,-10.07325756,-4.530645537,3.0952542,-1.3765849,0.81183994,27.21189,70.24581,-12.750117
2.40E+12,16.470016,0.393211024,-11.49566357,-3.628085091,3.1019738,-1.4214834,1.0934488,26.868624,70.04373,-12.487221
2.40E+12,16.475011,-0.34393141,-13.06758278,-2.300252399,3.1031954,-1.5833627,1.2156218,26.467361,69.78826,-12.261663
2.40E+12,16.479994,-0.461183519,-14.07191901,-1.645539443,3.0961704,-1.670411,1.4437801,26.115402,69.39376,-12.33083
2.40E+12,16.485058,-0.275526077,-14.81454896,-1.310548889,2.994156,-1.4514158,1.5800029,25.802498,69.019844,-12.41675
2.40E+12,16.490072,0.066682052,-15.34658452,-1.249646248,2.761111,-0.94714653,1.6129897,25.522358,68.53457,-12.584922
2.40E+12,16.495015,0.800402386,-15.36241998,-1.867238161,2.482251,-0.3295618,1.6132951,25.329298,68.07372,-12.805317
2.40E+12,16.500099,1.350975795,-15.39412523,-2.230449214,2.364354,0.20158553,1.6508633,25.211815,67.63841,-12.991388
2.40E+12,16.505057,1.678275273,-15.44088227,-2.305260576,2.4966063,0.49174652,1.7214183,25.195753,67.20624,-13.219353
2.40E+12,16.509956,1.933883237,-15.58154384,-1.633723011,2.8747318,0.3848451,1.7803668,25.19006,66.83719,-13.36989
2.40E+12,16.515018,2.11047856,-15.84882313,0.022454594,3.3625078,-0.20738874,1.8261817,25.122421,66.40144,-13.517976
2.40E+12,16.519947,2.17442758,-16.35074034,1.583761908,3.810272,-0.9960158,1.8402315,24.940222,65.90807,-13.58677
2.40E+12,16.525018,2.079119948,-17.22757053,3.113448738,3.9758165,-1.7470746,1.842675,24.599749,65.36331,-13.609752
2.40E+12,16.529975,1.887276596,-17.92649721,4.061522947,3.9678752,-2.3157902,1.7675385,23.983515,64.6462,-13.422153
2.40E+12,16.535111,1.516646826,-18.37515477,4.090783278,3.9025126,-2.5912905,1.6172657,23.259272,63.91715,-13.16634
2.40E+12,16.539942,1.164486235,-18.72079833,3.759053906,3.8835757,-2.5650232,1.3775011,22.411577,63.08821,-12.765885
2.40E+12,16.545021,0.787575214,-18.94026493,2.733283522,3.9245038,-2.2531765,1.0650436,21.618795,62.293434,-12.317649
2.40E+12,16.550084,0.472544528,-19.12323616,1.711526262,4.0182714,-1.7018706,0.68111473,20.970627,61.51426,-11.898147
2.40E+12,16.555089,0.282262986,-19.23264826,0.703034167,4.0979896,-0.98899084,0.2837469,20.50811,60.770535,-11.467785
2.40E+12,16.55999,0.119429735,-19.32306651,-0.025461299,4.1358633,-0.19120082,-0.045814894,20.320038,60.106888,-11.17576
2.40E+12,16.565012,0.006795721,-19.37713051,-0.174138201,4.1242566,0.18875736,-0.24678956,20.247616,59.46685,-10.865677
2.40E+12,16.570046,-0.104356168,-19.4285759,0.349486958,3.9953642,0.7128797,-0.2959642,20.493479,58.936146,-10.732161
2.40E+12,16.575014,-0.205981463,-19.46668571,3.965653754,3.8826594,0.67073005,-0.3463606,20.714384,58.425686,-10.529981
2.40E+12,16.580028,-0.308547732,-19.50514839,7.615303577,3.537826,-0.29901853,-0.33475417,20.837418,58.01182,-10.308592
2.40E+12,16.58499,-0.512171964,-19.51018465,6.776210599,2.8112018,-2.251344,-0.17470746,20.6842,57.72367,-9.963929
2.40E+12,16.590037,-0.727556032,-19.51263199,5.562227663,1.7996091,-3.9608502,0.0888809,20.329395,57.596172,-9.543176
2.40E+12,16.595008,-0.93969675,-19.51504247,4.366525429,1.3347405,-4.863404,0.1777618,19.49922,57.191673,-8.808087
2.40E+12,16.600382,-1.160492997,-19.50117533,3.155832301,1.4654657,-4.799263,0.070554934,18.501741,56.858917,-8.013903
2.40E+12,16.605046,-1.193517954,-19.1833108,3.626437704,1.9089539,-4.11601,-0.037873644,17.45523,56.553722,-7.223948
2.40E+12,16.609945,-1.228206903,-18.84943037,4.120754999,2.346639,-3.4003813,-0.03970624,16.558428,56.372562,-6.613326
2.40E+12,16.615013,-1.134930166,-17.98001716,4.908110296,2.6083946,-2.8851166,0.09407325,15.783754,56.115875,-6.0910935
2.40E+12,16.61997,-1.011980494,-17.00097376,5.745989272,2.6429086,-2.5088236,0.28863382,15.146894,55.80144,-5.6769347
2.40E+12,16.625014,-0.904383318,-15.96554512,6.540961686,2.486527,-2.2883012,0.5018258,14.5595455,55.392117,-5.353833
2.40E+12,16.630002,-0.804745739,-14.92646664,7.304850006,2.223855,-2.2999077,0.7309003,13.980485,55.003212,-5.102986
2.40E+12,16.635014,-0.853778601,-14.00611376,7.286410852,1.8777997,-2.463314,0.9324858,13.350526,54.53898,-4.870373
2.40E+12,16.640003,-0.96319905,-13.14026468,6.948634737,1.5045611,-2.6355782,1.1065824,12.693126,54.161346,-4.678895
2.40E+12,16.645011,-1.169260909,-12.23496928,6.330748323,1.1520919,-2.6618452,1.2067643,11.989837,53.732697,-4.485786
2.40E+12,16.650044,-1.417505445,-11.30969424,5.590528155,0.8738427,-2.5977044,1.2702943,11.259916,53.396976,-4.308172
2.40E+12,16.655014,-1.748044146,-10.26409737,4.538858442,0.6609562,-2.513405,1.3060299,10.521573,53.10519,-4.17168
2.40E+12,16.660013,-2.145095395,-9.112648774,3.23851536,0.48716503,-2.4092526,1.2382239,9.82375,52.891266,-4.037321
2.40E+12,16.665048,-2.143429903,-7.889414006,2.285340726,0.40225476,-2.3151793,1.0931433,9.168763,52.714283,-3.9623642
2.40E+12,16.669976,-1.921208739,-6.657296354,1.548270426,0.36713,-2.0717494,1.0027353,8.585193,52.57705,-3.9256625
2.40E+12,16.674991,-1.695064433,-5.403426626,0.798187725,0.31306845,-1.7858646,0.786489,8.106554,52.517525,-3.9371266
2.40E+12,16.679978,-1.470182747,-4.156557565,0.052292922,0.26450464,-1.4453071,0.5580254,7.7209215,52.471634,-3.9762611
2.40E+12,16.684982,-1.016549232,-3.020372128,-0.50629242,0.19914207,-1.1630874,0.3924809,7.4092145,52.443535,-4.020874
2.40E+12,16.690007,-0.119605352,-2.101944522,-0.699645598,0.12492194,-0.89369583,0.27855456,7.207343,52.438705,-4.082141
2.40E+12,16.695001,0.687933497,-1.416464256,-0.664042278,-0.007941248,-0.5693264,0.19517145,7.0587053,52.457092,-4.1226563
2.40E+12,16.700093,1.442546736,-0.903896796,-0.440980501,-0.19456059,-0.27000242,0.10262536,6.989545,52.517223,-4.1791186
2.40E+12,16.705067,2.238021885,-0.38456064,-0.232515317,-0.42913285,0.025350908,0.048258353,6.927159,52.607445,-4.143136
2.40E+12,16.709991,3.08001277,0.146975557,-0.034953194,-0.66950834,0.26358834,0.055588737,6.926166,52.753914,-4.1415496
2.40E+12,16.715017,3.768826787,0.694170686,0.057711456,-0.8979719,0.45845437,0.043676864,7.003474,52.58908,-4.032717
2.40E+12,16.719997,4.278332086,1.241070888,0.039014013,-1.112691,0.6569856,-0.021685716,7.134631,52.499146,-3.954376
2.40E+12,16.725001,4.662606205,1.810652036,0.020059902,-1.2956452,0.88422745,-0.12308934,7.1774116,52.69496,-3.7220824
2.40E+12,16.730009,4.89265627,2.404948048,0.000889063,-1.4352279,1.0961977,-0.25625798,7.2782445,52.937542,-3.4949057
2.40E+12,16.734959,4.992700859,3.027424706,-0.005319167,-1.5399913,1.2528846,-0.36468655,7.377875,53.215878,-3.172213
2.40E+12,16.740016,4.934404236,3.70755174,0.004396935,-1.5891659,1.3729197,-0.40653083,7.529597,53.514153,-2.8591156
2.40E+12,16.745024,4.730104044,4.390272482,-0.200919475,-1.5943583,1.5088371,-0.3585779,7.70024,53.798927,-2.5193353
